code,time,open,close,high,low,volume,money
000001.XSHE,2020-01-02,16.37,16.58,16.66,16.27,155657388.0,2571196482.14
000001.XSHE,2020-01-03,16.65,16.89,17.02,16.63,113540943.0,1914495474.63
000001.XSHE,2020-01-06,16.72,16.78,17.05,16.62,87692374.0,1477930193.19
000001.XSHE,2020-01-07,16.84,16.86,16.99,16.66,74115010.0,1247047135.26
000001.XSHE,2020-01-08,16.71,16.38,16.76,16.35,86241890.0,1423608811.18
000001.XSHE,2020-01-09,16.53,16.51,16.64,16.25,104939565.0,1725326806.25
000001.XSHE,2020-01-10,16.51,16.41,16.53,16.24,59562831.0,975154818.78
000001.XSHE,2020-01-13,16.47,16.7,16.74,16.33,88714661.0,1468271683.72
000001.XSHE,2020-01-14,16.7,16.48,16.98,16.48,132694973.0,2217608852.69
000001.XSHE,2020-01-15,16.51,16.24,16.57,16.17,87423384.0,1424889228.07
000001.XSHE,2020-01-16,16.24,16.05,16.29,15.93,104580287.0,1678888507.83
000001.XSHE,2020-01-17,16.1,16.11,16.27,16.07,61585892.0,995909007.35
000001.XSHE,2020-01-20,16.15,16.17,16.33,16.07,75891797.0,1226464649.55
000001.XSHE,2020-01-21,16.06,15.73,16.06,15.66,91203758.0,1442171431.55
000001.XSHE,2020-01-22,15.65,15.82,15.89,15.44,73185006.0,1150933398.98
000001.XSHE,2020-01-23,15.65,15.28,15.65,15.13,111953810.0,1723394336.66
000001.XSHE,2020-02-03,13.75,13.75,14.45,13.75,229808550.0,3201454164.92
000001.XSHE,2020-02-04,13.81,14.35,14.41,13.78,173554279.0,2442932842.71
000001.XSHE,2020-02-05,14.34,14.38,14.64,14.08,151705342.0,2177632043.62
000001.XSHE,2020-02-06,14.56,14.52,14.62,14.26,120622882.0,1740107625.42
000001.XSHE,2020-02-07,14.35,14.37,14.44,14.17,94077374.0,1345053255.67
000001.XSHE,2020-02-10,14.26,14.25,14.28,14.06,136255384.0,1931983482.1
000001.XSHE,2020-02-11,14.35,14.54,14.69,14.31,143173683.0,2077194138.92
000001.XSHE,2020-02-12,14.54,14.52,14.57,14.35,108893127.0,1573229042.55
000001.XSHE,2020-02-13,14.46,14.4,14.63,14.36,103064699.0,1491327713.78
000001.XSHE,2020-02-14,14.5,14.78,14.88,14.45,153847038.0,2253906452.48
000001.XSHE,2020-02-17,14.79,15.11,15.11,14.68,157026980.0,2337993586.12
000001.XSHE,2020-02-18,15.07,14.94,15.07,14.76,99037250.0,1478274222.58
000001.XSHE,2020-02-19,14.84,14.98,15.11,14.82,88915415.0,1333730218.97
000001.XSHE,2020-02-20,15.01,15.33,15.36,14.84,125671177.0,1897923029.04
000001.XSHE,2020-02-21,15.23,15.32,15.45,15.19,101220056.0,1546692930.16
000001.XSHE,2020-02-24,15.2,14.97,15.2,14.89,121231052.0,1820183854.52
000001.XSHE,2020-02-25,14.75,14.79,14.87,14.53,116427818.0,1710369786.03
000001.XSHE,2020-02-26,14.52,14.74,15.01,14.45,119685359.0,1769612245.37
000001.XSHE,2020-02-27,14.71,14.85,14.89,14.64,99205960.0,1464605739.46
000001.XSHE,2020-02-28,14.6,14.25,14.79,14.22,132303426.0,1906892413.31
600001.XSHG,2020-01-02,,,,,,
600001.XSHG,2020-01-03,,,,,,
600001.XSHG,2020-01-06,,,,,,
600001.XSHG,2020-01-07,,,,,,
600001.XSHG,2020-01-08,,,,,,
600001.XSHG,2020-01-09,,,,,,
600001.XSHG,2020-01-10,,,,,,
600001.XSHG,2020-01-13,,,,,,
600001.XSHG,2020-01-14,,,,,,
600001.XSHG,2020-01-15,,,,,,
600001.XSHG,2020-01-16,,,,,,
600001.XSHG,2020-01-17,,,,,,
600001.XSHG,2020-01-20,,,,,,
600001.XSHG,2020-01-21,,,,,,
600001.XSHG,2020-01-22,,,,,,
600001.XSHG,2020-01-23,,,,,,
600001.XSHG,2020-02-03,,,,,,
600001.XSHG,2020-02-04,,,,,,
600001.XSHG,2020-02-05,,,,,,
600001.XSHG,2020-02-06,,,,,,
600001.XSHG,2020-02-07,,,,,,
600001.XSHG,2020-02-10,,,,,,
600001.XSHG,2020-02-11,,,,,,
600001.XSHG,2020-02-12,,,,,,
600001.XSHG,2020-02-13,,,,,,
600001.XSHG,2020-02-14,,,,,,
600001.XSHG,2020-02-17,,,,,,
600001.XSHG,2020-02-18,,,,,,
600001.XSHG,2020-02-19,,,,,,
600001.XSHG,2020-02-20,,,,,,
600001.XSHG,2020-02-21,,,,,,
600001.XSHG,2020-02-24,,,,,,
600001.XSHG,2020-02-25,,,,,,
600001.XSHG,2020-02-26,,,,,,
600001.XSHG,2020-02-27,,,,,,
600001.XSHG,2020-02-28,,,,,,
000905.XSHG,2020-01-02,5306.67,5366.14,5374.91,5288.17,14589440500.0,136813752305.0
000905.XSHG,2020-01-03,5376.03,5380.64,5395.26,5351.8,12845202100.0,122199725543.2
000905.XSHG,2020-01-06,5365.22,5434.85,5481.55,5355.02,15958741400.0,158190935628.3
000905.XSHG,2020-01-07,5441.9,5499.84,5499.84,5440.69,14414272200.0,142194161767.8
000905.XSHG,2020-01-08,5481.98,5423.8,5500.16,5409.57,15540684700.0,149838069326.0
000905.XSHG,2020-01-09,5465.86,5497.54,5497.54,5457.35,13243166700.0,135961014647.3
000905.XSHG,2020-01-10,5511.67,5480.23,5516.09,5455.25,11381982100.0,118196969042.4
000905.XSHG,2020-01-13,5478.32,5559.63,5559.63,5447.73,11807618100.0,128651948006.7
000905.XSHG,2020-01-14,5576.63,5542.33,5583.72,5539.9,12981138300.0,134845327468.6
000905.XSHG,2020-01-15,5532.96,5530.03,5545.1,5492.65,11242502000.0,118142835148.1
000905.XSHG,2020-01-16,5539.42,5527.67,5559.02,5514.69,11189727600.0,122337955367.5
000905.XSHG,2020-01-17,5539.72,5510.05,5555.41,5499.47,10494932900.0,110491857886.6
000905.XSHG,2020-01-20,5523.01,5587.54,5587.54,5500.59,11540300100.0,128212120829.0
000905.XSHG,2020-01-21,5581.01,5523.94,5581.98,5515.19,12460480800.0,135220987296.1
000905.XSHG,2020-01-22,5502.59,5575.51,5597.99,5440.2,12347477000.0,138250254243.4
000905.XSHG,2020-01-23,5521.79,5377.74,5558.43,5326.93,14577307100.0,161861917529.5
000905.XSHG,2020-02-03,4896.89,4910.9,4960.75,4896.89,8177708400.0,89455038460.2
000905.XSHG,2020-02-04,4736.12,4996.47,5013.77,4736.12,18967227900.0,175374996025.5
000905.XSHG,2020-02-05,5035.41,5123.96,5178.44,5026.41,17109533900.0,177352350637.2
000905.XSHG,2020-02-06,5128.19,5282.89,5299.18,5100.48,18595745600.0,197274056315.6
000905.XSHG,2020-02-07,5287.27,5327.04,5329.36,5226.7,19114764200.0,203495543097.8
000905.XSHG,2020-02-10,5322.01,5388.43,5389.04,5301.41,17670328200.0,186767921839.1
000905.XSHG,2020-02-11,5390.53,5361.28,5396.96,5323.76,15250817700.0,157302894199.0
000905.XSHG,2020-02-12,5345.52,5459.95,5461.67,5340.49,15104147300.0,164552224783.9
000905.XSHG,2020-02-13,5456.66,5412.84,5482.8,5397.23,15820264200.0,175679828632.4
000905.XSHG,2020-02-14,5407.47,5420.8,5474.47,5375.93,14534649600.0,162742004601.2
000905.XSHG,2020-02-17,5454.46,5594.44,5594.44,5454.46,17463665700.0,183878721181.5
000905.XSHG,2020-02-18,5607.84,5660.81,5660.81,5577.9,18509870100.0,206428524429.9
000905.XSHG,2020-02-19,5654.18,5603.26,5678.82,5601.39,18564208500.0,210591418572.0
000905.XSHG,2020-02-20,5619.52,5706.71,5712.18,5580.07,19207602600.0,205564978649.7
000905.XSHG,2020-02-21,5704.84,5784.03,5822.4,5700.95,20723623900.0,230175046237.0
000905.XSHG,2020-02-24,5784.58,5865.47,5884.14,5754.68,21809896200.0,250154433482.9
000905.XSHG,2020-02-25,5745.62,5897.72,5912.27,5643.88,26736667800.0,301960915841.1
000905.XSHG,2020-02-26,5824.05,5743.39,5885.27,5724.5,26637508000.0,281045744357.2
000905.XSHG,2020-02-27,5770.22,5753.73,5829.04,5689.54,20469487500.0,221902086232.7
000905.XSHG,2020-02-28,5558.42,5451.29,5641.77,5438.85,22430670900.0,232879770245.1
600547.XSHG,2020-01-02,23.03,23.45,23.49,22.99,68626678.0,1595732632.92
600547.XSHG,2020-01-03,23.67,24.79,25.12,23.59,138521229.0,3393801099.27
600547.XSHG,2020-01-06,26.01,27.02,27.06,26.01,173143640.0,4585224981.9
600547.XSHG,2020-01-07,26.22,26.2,26.42,25.66,99205400.0,2588258913.55
600547.XSHG,2020-01-08,27.8,27.43,28.0,26.46,186101665.0,5107351837.12
600547.XSHG,2020-01-09,25.23,25.46,25.94,25.23,141204650.0,3603269728.1
600547.XSHG,2020-01-10,25.22,24.99,25.22,24.67,88046526.0,2191239796.38
600547.XSHG,2020-01-13,24.83,24.81,25.02,24.59,54210561.0,1341419580.62
600547.XSHG,2020-01-14,24.32,24.51,24.69,24.17,76369419.0,1866814208.38
600547.XSHG,2020-01-15,24.54,24.56,24.79,24.29,58381029.0,1434453931.44
600547.XSHG,2020-01-16,24.72,24.29,24.73,24.23,45932250.0,1122354861.65
600547.XSHG,2020-01-17,24.1,24.43,24.57,24.08,45203041.0,1098067723.94
600547.XSHG,2020-01-20,24.34,24.52,24.55,24.13,39392666.0,958990295.86
600547.XSHG,2020-01-21,24.62,24.68,24.94,24.52,61529324.0,1522976098.54
600547.XSHG,2020-01-22,24.09,23.63,24.18,23.34,66680123.0,1580272908.26
600547.XSHG,2020-01-23,23.74,23.14,23.88,22.84,51956449.0,1215630212.85
600547.XSHG,2020-02-03,22.09,22.52,23.52,21.05,97981568.0,2202122925.23
600547.XSHG,2020-02-04,22.09,22.32,22.44,21.79,52054617.0,1153839640.99
600547.XSHG,2020-02-05,21.74,23.01,23.3,21.74,88857848.0,2012307814.57
600547.XSHG,2020-02-06,22.67,22.98,23.15,22.58,68054513.0,1554361036.13
600547.XSHG,2020-02-07,23.16,23.11,23.65,23.03,70869987.0,1651299239.71
600547.XSHG,2020-02-10,23.22,23.58,23.66,22.92,73411877.0,1710512550.97
600547.XSHG,2020-02-11,23.25,23.22,23.6,23.17,53907116.0,1256881807.51
600547.XSHG,2020-02-12,23.01,23.26,23.36,22.9,44477457.0,1030373023.62
600547.XSHG,2020-02-13,23.28,24.05,24.06,23.18,100907235.0,2390639999.89
600547.XSHG,2020-02-14,23.88,23.8,24.15,23.67,68580468.0,1636315554.09
600547.XSHG,2020-02-17,23.95,24.19,24.25,23.82,66603319.0,1605700115.74
600547.XSHG,2020-02-18,24.37,24.8,25.01,24.26,88582900.0,2191094309.55
600547.XSHG,2020-02-19,25.68,25.31,25.91,25.12,112397118.0,2859075414.31
600547.XSHG,2020-02-20,25.27,25.14,25.45,25.0,87596899.0,2210982952.95
600547.XSHG,2020-02-21,25.66,26.51,26.83,25.46,134088572.0,3508023953.13
600547.XSHG,2020-02-24,27.8,27.44,27.97,27.16,158376504.0,4365261931.05
600547.XSHG,2020-02-25,26.62,26.51,27.97,26.38,168373929.0,4536147676.96
600547.XSHG,2020-02-26,26.49,25.39,26.56,25.34,123821780.0,3194277562.78
600547.XSHG,2020-02-27,25.39,25.69,25.85,25.09,75697624.0,1931338056.17
600547.XSHG,2020-02-28,24.82,24.17,25.23,24.02,107577167.0,2647683675.84
